species	decimalLongitude	decimalLatitude
cyrto	-47.883333	-15.583333
cyrto	-41.434722	-16.365278
cyrto	-41.25	-17.85
cyrto	-40.995	-17.863333
cyrto	-40.125278	-17.866389
cyrto	-43.346408	-18.089456
cyrto	-40.479722	-18.313889
cyrto	-40.555833	-18.623056
cyrto	-40.825833	-18.890278
cyrto	-40.661944	-18.974444
cyrto	-40.777778	-19.006111
cyrto	-40.876667	-19.231111
cyrto	-40.558611	-19.343611
cyrto	-40.718556	-19.401917
cyrto	-40.478889	-19.4525
cyrto	-40.681389	-19.805556
cyrto	-40.548333	-19.847222
cyrto	-40.376944	-19.889444
cyrto	-40.814722	-19.897778
cyrto	-40.439167	-20.099722
cyrto	-43.824167	-20.175
cyrto	-45.671083	-20.262778
cyrto	-40.613944	-20.335175
cyrto	-42.016667	-20.716667
cyrto	-42.483333	-20.716667
cyrto	-41.209722	-21.340278
cyrto	-42.832778	-21.470278
cyrto	-41.648889	-21.753056
cyrto	-43.244722	-22.430556
cyrto	-42.887778	-22.869722
cyrto	-44.642461	-23.228494
cyrto	-41.444406	-21.794778
cyrto	-41.5425	-20.941111
cyrto	-41.482778	-20.370833
cyrto	-40.816667	-20.15
cyrto	-40.456018	-18.767966
cyrto	-42.704428	-22.697685
cyrto	-43.89051	-22.007668
cyrto	-43.892824	-21.890589
cyrto	-43.266562	-21.583305
cyrto	-42.962915	-21.464912
cyrto	-41.198235	-20.920012
cyrto	-41.506788	-20.680331
cyrto	-41.389853	-20.659399
cyrto	-40.540489	-19.965297
cyrto	-56.721807	-13.438877
cyrto	-51.982694	-6.625822
cyrto	-40.643197	-19.921281
cyrto	-41.368987	-20.787052
cyrto	-44.749883	-22.000033
cyrto	-42.970833	-21.347222
